Individual_ID	Site	Country	Region	Group_label	Latitude	Longitude	Data_source	Age_upper	Age_lower	Age_average	Dating	Sex	Y_haplogroup_major	Y_haplogroup_derived	Coverage	Average_GP	Flag	Cluster_ID	Cluster_fine	Cluster_global	Cluster_group
baa01	Ballito Bay A	South Africa	SouthAfrica	SouthAfrica_Neolithic	-29.54	31.22	Schlebusch_Science_2017	1986	1831	1909	direct	XY	A1b	A1b	13.5	0.997	0	6.2.1	SouthAfrica_2000BP_1000BP	Africa_8000BP_400BP	HG_Africa
bab01	Ballito Bay B	South Africa	SouthAfrica	SouthAfrica_Neolithic	-29.54	31.22	Schlebusch_Science_2017	2149	1932	2041	direct	XY	A1b	A1b	1.3	0.98	0	6.2.1	SouthAfrica_2000BP_1000BP	Africa_8000BP_400BP	HG_Africa
I9133	Faraoskop Rock Shelter	South Africa	SouthAfrica	SouthAfrica_Neolithic	-31.98	18.52	Skoglund_Cell_2017	2111	1829	1970	direct	XY	A1b	A1b	2.08	0.984	0	6.2.2	SouthAfrica_2000BP_1000BP	Africa_8000BP_400BP	HG_Africa
I9028	St. Helena	South Africa	SouthAfrica	SouthAfrica_Neolithic	-32.76	18.03	Skoglund_Cell_2017	2241	1965	2103	direct	XY	A1b	A1b	1.19	0.979	lowGpAvg	NA	NA	NA	NA
I9134	Kasteelberg	South Africa	SouthAfrica	SouthAfrica_Neolithic_Pastoral	-32.81	17.95	Skoglund_Cell_2017	1311	1086	1199	direct	XX	NA	NA	0.7	0.981	0	6.2.2	SouthAfrica_2000BP_1000BP	Africa_8000BP_400BP	HG_Africa
ela01	Eland Cave	South Africa	SouthAfrica	SouthAfrica_IronAge	-28.92	29.13	Schlebusch_Science_2017	533	453	493	direct	XX	NA	NA	13.47	0.999	0	6.1.3	SouthAfrica_400BP	Africa_8000BP_400BP	HG_Africa
new01	Newcastle	South Africa	SouthAfrica	SouthAfrica_IronAge	-27.76	29.92	Schlebusch_Science_2017	508	327	418	direct	XX	NA	NA	10.9	0.998	0	6.1.1	SouthAfrica_400BP	Africa_8000BP_400BP	HG_Africa
mfo01	Mfongosi	South Africa	SouthAfrica	SouthAfrica_IronAge	-28.73	30.81	Schlebusch_Science_2017	448	308	378	direct	XX	NA	NA	7.06	0.997	0	6.1.4	SouthAfrica_400BP	Africa_8000BP_400BP	HG_Africa
cha01	Champagne Castle	South Africa	SouthAfrica	SouthAfrica_IronAge	-29.05	29.42	Schlebusch_Science_2017	448	282	365	direct	XX	NA	NA	0.37	0.984	0	6.1.2	SouthAfrica_400BP	Africa_8000BP_400BP	HG_Africa
I10871	Shum Laka	Cameroon	CentralAfrica	Cameroon_Neolithic	5.86	10.08	Lipson_Nature_2020	7970	7800	7885	direct	XY	A0	A0	15.21	0.998	0	6.3	Cameroon_8000BP_3000BP	Africa_8000BP_400BP	HG_Africa
I10873	Shum Laka	Cameroon	CentralAfrica	Cameroon_Neolithic	5.86	10.08	Lipson_Nature_2020	3160	2970	3065	direct	XY	B2b	B2b	3.28	0.993	0	6.3	Cameroon_8000BP_3000BP	Africa_8000BP_400BP	HG_Africa
Mota	Mota Cave	Ethiopia	EastAfrica	Ethiopia_Neolithic	6.8	38.21	GallegoLlorente_Science_2015	4525	4419	4472	direct	XY	E1b	E1b	10.15	0.996	0	6.1.1	Ethiopia_4500BP	Africa_8000BP_400BP	HG_Africa
gun008	Gran Canaria	Canary Islands	NorthAfrica	CanaryIslands_Guanche	27.97	-15.6	RodriguezVarela_CurrentBiology_2017	1071	958	1015	direct	XX	NA	NA	0.3	0.987	0	2.5.2	CaryIslands_1300BP_900BP	EuropeWCAsia_25000BP_300BP	Guanche_Caries
gun005	Gran Canaria	Canary Islands	NorthAfrica	CanaryIslands_Guanche	27.97	-15.6	RodriguezVarela_CurrentBiology_2017	1055	933	994	direct	XX	NA	NA	0.48	0.988	0	2.5.2	CaryIslands_1300BP_900BP	EuropeWCAsia_25000BP_300BP	Guanche_Caries
gun012	Tenerife	Canary Islands	NorthAfrica	CanaryIslands_Guanche	28.27	-16.61	RodriguezVarela_CurrentBiology_2017	1368	1290	1329	direct	XY	E1b	E1b1b1b1a1	0.56	0.99	0	2.5.1.1	CaryIslands_1300BP_900BP	EuropeWCAsia_25000BP_300BP	Guanche_Caries
gun011	Tenerife	Canary Islands	NorthAfrica	CanaryIslands_Guanche	28.27	-16.61	RodriguezVarela_CurrentBiology_2017	1255	1062	1159	direct	XY	E1b	E1b1b1b1a1	4.08	0.996	0	2.5.1.1	CaryIslands_1300BP_900BP	EuropeWCAsia_25000BP_300BP	Guanche_Caries
gun002	Tenerife	Canary Islands	NorthAfrica	CanaryIslands_Guanche	28.27	-16.61	RodriguezVarela_CurrentBiology_2017	926	795	861	direct	XY	E1b	E1b1b1b1a1	0.21	0.982	0	2.5.1.2	CaryIslands_1300BP_900BP	EuropeWCAsia_25000BP_300BP	Guanche_Caries
Klei10	Kleitos	Greece	SouthernEurope	Greece_Neolithic	40.26	21.74	Hofmanova_PNAS_2016	6180	5945	6063	direct	XY	G2a	G2a2a	2.05	0.995	0	2.3.2.2	EuropeS_8000BP_6000BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
Pal7	Paliambela	Greece	SouthernEurope	Greece_Neolithic	40.51	22.5	Hofmanova_PNAS_2016	6402	6300	6351	direct	XX	NA	NA	1.27	0.992	0	2.3.1.1.6	EuropeCE_7000BP_5500BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
Rev5	Revenia	Greece	SouthernEurope	Greece_Neolithic	40.33	22.56	Hofmanova_PNAS_2016	8388	8214	8301	direct	XX	NA	NA	1.13	0.993	0	2.3.2.13	EuropeS_8000BP_6000BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
ST3	San Teodoro	Italy	SouthernEurope	Italy_Mesolithic	37.85	14.7	Scorrano_Biorxiv_2022	15300	14300	14800	context	XY	I2a	I2a1b	0.48	0.99	0	4.2.2.1.2.4	Italy_15000BP_9000BP	Europe_15000BP_4000BP	HG_EuropeW
R11	Grotta Continenza	Italy	SouthernEurope	Italy_Mesolithic	41.96	13.54	Antonio_Science_2019	12050	11766	11908	direct	XY	I2a	I2a1b	0.96	0.995	0	4.2.2.1.2.1	Italy_15000BP_9000BP	Europe_15000BP_4000BP	HG_EuropeW
R7	Grotta Continenza	Italy	SouthernEurope	Italy_Mesolithic	41.96	13.54	Antonio_Science_2019	10771	10592	10682	direct	XY	I2a	I2a1b	3.15	0.997	0	4.2.2.1.2.3	Italy_15000BP_9000BP	Europe_15000BP_4000BP	HG_EuropeW
R15	Grotta Continenza	Italy	SouthernEurope	Italy_Mesolithic	41.96	13.54	Antonio_Science_2019	9234	9015	9125	direct	XY	I2a	I2a1b	3.07	0.997	0	4.2.2.1.2.2	Italy_15000BP_9000BP	Europe_15000BP_4000BP	HG_EuropeW
R2	Grotta Continenza	Italy	SouthernEurope	Italy_Neolithic	41.96	13.54	Antonio_Science_2019	8016	7952	7984	direct	XX	NA	NA	3.7	0.998	0	2.3.2.9	EuropeS_8000BP_6000BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
R3	Grotta Continenza	Italy	SouthernEurope	Italy_Neolithic	41.96	13.54	Antonio_Science_2019	7786	7673	7730	direct	XX	NA	NA	4.06	0.998	0	2.3.2.10	EuropeS_8000BP_6000BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
R8	Grotta Continenza	Italy	SouthernEurope	Italy_Neolithic	41.96	13.54	Antonio_Science_2019	7782	7665	7724	direct	XX	NA	NA	0.53	0.995	0	2.3.2.11	EuropeS_8000BP_6000BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
R10	Grotta Continenza	Italy	SouthernEurope	Italy_Neolithic	41.96	13.54	Antonio_Science_2019	7667	7591	7629	direct	XX	NA	NA	1.32	0.996	0	2.3.2.4	EuropeS_8000BP_6000BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
R9	Grotta Continenza	Italy	SouthernEurope	Italy_Neolithic	41.96	13.54	Antonio_Science_2019	7557	7435	7496	direct	XY	G2a	G2a2a	4.04	0.998	0	2.3.2.12	EuropeS_8000BP_6000BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
R6	Grotta Continenza	Italy	SouthernEurope	Italy_Neolithic	41.96	13.54	Antonio_Science_2019	7192	7127	7160	direct	XY	R1b	R1b1b	0.6	0.995	0	2.2.1.3.1.9	Italy_5500BP_4000BP	EuropeWCAsia_25000BP_300BP	Farmer_EuropeW_late
R4	Grotta Continenza	Italy	SouthernEurope	Italy_Neolithic	41.96	13.54	Antonio_Science_2019	4900	4830	4865	direct	XY	G2a	G2a2b2b	3.68	0.998	0	2.2.1.3.2.1	Italy_5500BP_4000BP	EuropeWCAsia_25000BP_300BP	Farmer_EuropeW_late
R5	Grotta Continenza	Italy	SouthernEurope	Italy_Neolithic	41.96	13.54	Antonio_Science_2019	4852	4827	4840	direct	XX	NA	NA	1.5	0.996	0	2.2.1.3.2.1	Italy_5500BP_4000BP	EuropeWCAsia_25000BP_300BP	Farmer_EuropeW_late
NEO834	Mora Cavorso	Italy	SouthernEurope	Italy_Neolithic	41.87	13.283	thisStudy	7502	7318	7410	direct	XY	G2a	G2a2a	0.08	0.978	lowcov;lowGpAvg	NA	NA	NA	NA
NEO695	Maddalena di Muccia	Italy	SouthernEurope	Italy_Neolithic	43.075	13.059	thisStudy	7421	7167	7294	direct	XX	NA	NA	0.43	0.991	0	2.3.2.3	EuropeS_8000BP_6000BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
R18	Ripabianca di Monterado	Italy	SouthernEurope	Italy_Neolithic	43.72	13.03	Antonio_Science_2019	7415	7182	7299	direct	XX	NA	NA	0.63	0.994	0	2.3.2.7	EuropeS_8000BP_6000BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
R19	Ripabianca di Monterado	Italy	SouthernEurope	Italy_Neolithic	43.72	13.03	Antonio_Science_2019	7295	7171	7233	direct	XY	J2a	J2a1a1a2b2	0.52	0.994	0	2.3.2.8	EuropeS_8000BP_6000BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
R17	Ripabianca di Monterado	Italy	SouthernEurope	Italy_Neolithic	43.72	13.03	Antonio_Science_2019	7274	7173	7224	direct	XY	J2a	J2a	0.57	0.994	0	2.3.2.6	EuropeS_8000BP_6000BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
R16	Ripabianca di Monterado	Italy	SouthernEurope	Italy_Neolithic	43.72	13.03	Antonio_Science_2019	7251	7164	7208	direct	XX	NA	NA	0.57	0.994	0	2.3.2.5	EuropeS_8000BP_6000BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
R24	Su Crocefissu	Italy	SouthernEurope	Italy_Neolithic	40.81	8.44	Antonio_Science_2019	5576	5324	5450	direct	XX	NA	NA	0.55	0.994	0	2.2.1.3.1.3	Italy_5500BP_4000BP	EuropeWCAsia_25000BP_300BP	Farmer_EuropeW_late
R25	Su Crocefissu	Italy	SouthernEurope	Italy_Neolithic	40.81	8.44	Antonio_Science_2019	5450	2850	4150	context	XX	NA	NA	0.54	0.994	0	2.2.1.3.1.4	Italy_5500BP_4000BP	EuropeWCAsia_25000BP_300BP	Farmer_EuropeW_late
R26	Su Crocefissu	Italy	SouthernEurope	Italy_Neolithic	40.81	8.44	Antonio_Science_2019	5450	2850	4150	context	XY	I2a	I2a1b1a1b	0.53	0.994	0	2.2.1.3.1.5	Italy_5500BP_4000BP	EuropeWCAsia_25000BP_300BP	Farmer_EuropeW_late
R27	Su Crocefissu	Italy	SouthernEurope	Italy_Neolithic	40.81	8.44	Antonio_Science_2019	5450	2850	4150	context	XY	I2a	I2a1b1a1b	0.71	0.995	0	2.2.1.3.1.6	Italy_5500BP_4000BP	EuropeWCAsia_25000BP_300BP	Farmer_EuropeW_late
R28	Su Crocefissu	Italy	SouthernEurope	Italy_Neolithic	40.81	8.44	Antonio_Science_2019	5450	2850	4150	context	XX	NA	NA	0.73	0.995	0	2.2.1.3.1.7	Italy_5500BP_4000BP	EuropeWCAsia_25000BP_300BP	Farmer_EuropeW_late
R29	Su Crocefissu	Italy	SouthernEurope	Italy_Neolithic	40.81	8.44	Antonio_Science_2019	5450	2850	4150	context	XY	G2a	G2a2b2b	0.56	0.995	0	2.2.1.3.1.8	Italy_5500BP_4000BP	EuropeWCAsia_25000BP_300BP	Farmer_EuropeW_late
R22	Su Crocefissu	Italy	SouthernEurope	Italy_Neolithic	40.81	8.44	Antonio_Science_2019	3960	3831	3896	direct	XX	NA	NA	0.78	0.995	0	2.2.1.3.1.2	Italy_5500BP_4000BP	EuropeWCAsia_25000BP_300BP	Farmer_EuropeW_late
NEO830	Fontenoce	Italy	SouthernEurope	Italy_Neolithic	43.383	13.55	thisStudy	5466	5319	5393	direct	XX	NA	NA	0.1	0.981	0	2.2.1.2.2.1	EuropeSW_6000BP_3500BP	EuropeWCAsia_25000BP_300BP	Farmer_EuropeW_late
R1014	Monte San Biagio	Italy	SouthernEurope	Italy_Neolithic	41.37	13.29	Antonio_Science_2019	5450	4450	4950	context	XY	H	H	0.62	0.995	0	2.2.1.3.2.3	Italy_5500BP_4000BP	EuropeWCAsia_25000BP_300BP	Farmer_EuropeW_late
NEO828	Gaudo	Italy	SouthernEurope	Italy_Neolithic	40.416	15.066	thisStudy	4839	4652	4746	context	XY	J2a	J2a	0.09	0.976	lowcov;lowGpAvg	NA	NA	NA	NA
